Drug_name,absorption,solubility,toxicity
nepafenac,High,Sparingly soluble,Moderately toxic
nevirapine,High,Poorly soluble,Mildly toxic
niacin,Moderate,Sparingly soluble,Mildly toxic
niacinamide,Moderate,Sparingly soluble,Highly toxic
nicotine,Low,Sparingly soluble,Mildly toxic
nifedipine,Moderate,Water-soluble,Highly toxic
nilotinib,Moderate,Poorly soluble,Moderately toxic
nimodipine,High,Poorly soluble,Highly toxic
nintedanib,Moderate,Sparingly soluble,Highly toxic
niraparib,Low,Sparingly soluble,Mildly toxic
nisoldipine,Moderate,Poorly soluble,Mildly toxic
nitazoxanide,High,Sparingly soluble,Highly toxic
nitisinone,High,Poorly soluble,Mildly toxic
nitrofurantoin,Moderate,Water-soluble,Mildly toxic
nitroglycerin,High,Sparingly soluble,Mildly toxic
nitroprusside,Low,Poorly soluble,Highly toxic
nivolumab,Low,Sparingly soluble,Mildly toxic
norepinephrine,Moderate,Poorly soluble,Highly toxic
norethindrone,Moderate,Poorly soluble,Mildly toxic
nortriptyline,Moderate,Sparingly soluble,Moderately toxic
nusinersen,High,Water-soluble,Mildly toxic
nystatin,Low,Poorly soluble,Mildly toxic
nystatin / triamcinolone,Low,Poorly soluble,Highly toxic
obeticholic acid,High,Poorly soluble,Highly toxic
obinutuzumab,Low,Water-soluble,Mildly toxic
octreotide,Moderate,Water-soluble,Moderately toxic
ofatumumab,Moderate,Sparingly soluble,Mildly toxic
ofloxacin,Moderate,Water-soluble,Mildly toxic
olanzapine,Low,Sparingly soluble,Moderately toxic
olaparib,Moderate,Sparingly soluble,Highly toxic
olaratumab,High,Water-soluble,Mildly toxic
olmesartan,High,Sparingly soluble,Highly toxic
olodaterol,Low,Water-soluble,Highly toxic
olodaterol / tiotropium,High,Sparingly soluble,Moderately toxic
olsalazine,High,Water-soluble,Moderately toxic
omacetaxine,Low,Water-soluble,Highly toxic
omalizumab,Moderate,Sparingly soluble,Mildly toxic
omega-3 polyunsaturated fatty acids,Moderate,Poorly soluble,Highly toxic
omeprazole,Moderate,Sparingly soluble,Mildly toxic
omeprazole / sodium bicarbonate,Low,Water-soluble,Mildly toxic
onabotulinumtoxinA,High,Poorly soluble,Moderately toxic
onasemnogene abeparvovec,Moderate,Sparingly soluble,Mildly toxic
ondansetron,Moderate,Sparingly soluble,Mildly toxic
"ophthalmic irrigation, intraocular",Low,Sparingly soluble,Highly toxic
opium,Moderate,Poorly soluble,Moderately toxic
orlistat,Low,Water-soluble,Mildly toxic
orphenadrine,High,Sparingly soluble,Mildly toxic
oseltamivir,Low,Sparingly soluble,Moderately toxic
ospemifene,Low,Sparingly soluble,Highly toxic
oxacillin,Low,Sparingly soluble,Moderately toxic
oxaliplatin,Low,Sparingly soluble,Moderately toxic
oxandrolone,High,Water-soluble,Mildly toxic
oxazepam,High,Water-soluble,Mildly toxic
oxcarbazepine,Moderate,Sparingly soluble,Highly toxic
oxybutynin,High,Poorly soluble,Mildly toxic
oxycodone,High,Water-soluble,Mildly toxic
oxymetazoline,Moderate,Poorly soluble,Moderately toxic
oxymorphone,High,Water-soluble,Mildly toxic
oxytocin,Low,Sparingly soluble,Highly toxic
paclitaxel,Low,Water-soluble,Moderately toxic
paclitaxel protein-bound,Moderate,Sparingly soluble,Highly toxic
palbociclib,Moderate,Water-soluble,Moderately toxic
palifermin,Moderate,Sparingly soluble,Mildly toxic
paliperidone,Low,Sparingly soluble,Moderately toxic
palivizumab,High,Sparingly soluble,Moderately toxic
palonosetron,Low,Sparingly soluble,Mildly toxic
pamabrom,Moderate,Poorly soluble,Mildly toxic
pamidronate,High,Sparingly soluble,Highly toxic
pancreatin,High,Poorly soluble,Highly toxic
pancrelipase,Low,Poorly soluble,Mildly toxic
panitumumab,Moderate,Sparingly soluble,Mildly toxic
pantoprazole,Low,Poorly soluble,Mildly toxic
papaverine,High,Water-soluble,Moderately toxic
parenteral nutrition solution,Low,Sparingly soluble,Moderately toxic
parenteral nutrition solution w / electrolytes,Low,Poorly soluble,Moderately toxic
paromomycin,Moderate,Sparingly soluble,Mildly toxic
paroxetine,Moderate,Sparingly soluble,Highly toxic
pasireotide,High,Sparingly soluble,Mildly toxic
patisiran,Low,Poorly soluble,Moderately toxic
pazopanib,Low,Water-soluble,Moderately toxic
pegademase bovine,Low,Water-soluble,Mildly toxic
pegaptanib,High,Poorly soluble,Mildly toxic
pegaspargase,High,Sparingly soluble,Moderately toxic
pegfilgrastim,Moderate,Poorly soluble,Moderately toxic
peginterferon alfa-2a,Moderate,Poorly soluble,Moderately toxic
peginterferon alfa-2b,Moderate,Poorly soluble,Mildly toxic
pegloticase,Low,Sparingly soluble,Moderately toxic
pegvaliase,Low,Poorly soluble,Moderately toxic
pegvisomant,Moderate,Sparingly soluble,Highly toxic
pembrolizumab,Low,Poorly soluble,Mildly toxic
pemetrexed,Moderate,Water-soluble,Highly toxic
penciclovir,High,Poorly soluble,Highly toxic
penicillamine,Moderate,Poorly soluble,Moderately toxic
penicillin g benzathine,High,Water-soluble,Mildly toxic
penicillin g benzathine / procaine penicillin,Low,Sparingly soluble,Moderately toxic
penicillin g potassium,Moderate,Sparingly soluble,Mildly toxic
penicillin g sodium,Low,Poorly soluble,Highly toxic
penicillin v potassium,High,Water-soluble,Mildly toxic
pentamidine,High,Sparingly soluble,Moderately toxic
pentetate calcium trisodium,High,Poorly soluble,Moderately toxic
pentetate zinc trisodium,Low,Water-soluble,Moderately toxic
pentosan polysulfate sodium,Low,Sparingly soluble,Mildly toxic
pentostatin,Low,Sparingly soluble,Highly toxic
pentoxifylline,Low,Water-soluble,Highly toxic
peramivir,High,Water-soluble,Mildly toxic
perflutren,High,Water-soluble,Moderately toxic
perindopril,Moderate,Water-soluble,Highly toxic
permethrin,Moderate,Poorly soluble,Moderately toxic
perphenazine,Low,Water-soluble,Mildly toxic
phenazopyridine,High,Sparingly soluble,Moderately toxic
phenobarbital,High,Sparingly soluble,Highly toxic
phenoxybenzamine,High,Poorly soluble,Highly toxic
phentermine,Moderate,Sparingly soluble,Moderately toxic
phentermine / topiramate,Moderate,Sparingly soluble,Mildly toxic
phentolamine,High,Water-soluble,Moderately toxic
phenylephrine,High,Sparingly soluble,Mildly toxic
phenytoin,High,Poorly soluble,Moderately toxic
physostigmine,Moderate,Water-soluble,Highly toxic
phytonadione,High,Water-soluble,Mildly toxic
pilocarpine,High,Poorly soluble,Mildly toxic
pimecrolimus,Low,Water-soluble,Mildly toxic
pimozide,Low,Water-soluble,Highly toxic
pioglitazone,Moderate,Poorly soluble,Moderately toxic
piperacillin,High,Water-soluble,Highly toxic
piperacillin / tazobactam,High,Poorly soluble,Mildly toxic
piperonyl butoxide / pyrethrins,Low,Poorly soluble,Moderately toxic
pirfenidone,Moderate,Sparingly soluble,Highly toxic
piroxicam,Low,Sparingly soluble,Mildly toxic
pitavastatin,Low,Water-soluble,Mildly toxic
plecanatide,Low,Water-soluble,Highly toxic
pneumococcal 13-valent vaccine,Low,Poorly soluble,Highly toxic
pneumococcal 23-polyvalent vaccine,High,Water-soluble,Highly toxic
podofilox,High,Poorly soluble,Mildly toxic
podophyllum resin,Low,Poorly soluble,Highly toxic
"poliovirus vaccine, inactivated",Moderate,Water-soluble,Mildly toxic
poly-l-lactic acid,Moderate,Poorly soluble,Highly toxic
poly-ureaurethane,Moderate,Sparingly soluble,Mildly toxic
polyethylene glycol 3350,Moderate,Water-soluble,Mildly toxic
polyethylene glycol 3350 with electrolytes,Low,Sparingly soluble,Moderately toxic
polymyxin b / trimethoprim,High,Water-soluble,Highly toxic
pomalidomide,Moderate,Poorly soluble,Highly toxic
ponatinib,Low,Water-soluble,Mildly toxic
poractant,Moderate,Sparingly soluble,Mildly toxic
porfimer,Moderate,Poorly soluble,Mildly toxic
posaconazole,Low,Water-soluble,Moderately toxic
potassium bicarbonate / potassium chloride,High,Water-soluble,Moderately toxic
potassium chloride,High,Water-soluble,Mildly toxic
potassium citrate,Low,Sparingly soluble,Highly toxic
potassium gluconate,High,Sparingly soluble,Highly toxic
potassium iodide,Low,Water-soluble,Moderately toxic
potassium phosphate,Low,Poorly soluble,Moderately toxic
potassium phosphate / sodium phosphate,Low,Poorly soluble,Mildly toxic
prabotulinumtoxinA,High,Sparingly soluble,Highly toxic
pralatrexate,Low,Poorly soluble,Mildly toxic
pralidoxime,Moderate,Sparingly soluble,Moderately toxic
pramipexole,High,Water-soluble,Highly toxic
pramoxine,High,Sparingly soluble,Highly toxic
pramoxine / zinc acetate,High,Sparingly soluble,Moderately toxic
prasugrel,High,Water-soluble,Mildly toxic
pravastatin,Moderate,Poorly soluble,Mildly toxic
praziquantel,High,Sparingly soluble,Highly toxic
prazosin,High,Sparingly soluble,Moderately toxic
prednisolone,Low,Water-soluble,Highly toxic
prednisolone / sulfacetamide sodium,High,Poorly soluble,Moderately toxic
prednisone,Moderate,Sparingly soluble,Mildly toxic
pregabalin,Moderate,Water-soluble,Moderately toxic
primaquine,Moderate,Sparingly soluble,Mildly toxic
primidone,Moderate,Water-soluble,Moderately toxic
probenecid,High,Poorly soluble,Highly toxic
procainamide,High,Poorly soluble,Mildly toxic
procaine penicillin,Moderate,Poorly soluble,Highly toxic
procarbazine,Moderate,Poorly soluble,Highly toxic
prochlorperazine,High,Sparingly soluble,Mildly toxic
progesterone,Moderate,Sparingly soluble,Mildly toxic
promethazine,Low,Poorly soluble,Highly toxic
propafenone,Moderate,Poorly soluble,Highly toxic
propantheline,Moderate,Poorly soluble,Highly toxic
propofol,Low,Sparingly soluble,Highly toxic
propranolol,Low,Poorly soluble,Mildly toxic
propylthiouracil,High,Poorly soluble,Mildly toxic
protamine,High,Poorly soluble,Highly toxic
protein c,Low,Water-soluble,Moderately toxic
prothrombin complex,Low,Poorly soluble,Moderately toxic
prucalopride,High,Water-soluble,Mildly toxic
pseudoephedrine,Moderate,Water-soluble,Highly toxic
pseudoephedrine / triprolidine,Low,Poorly soluble,Highly toxic
psyllium,High,Water-soluble,Mildly toxic
pyrantel,Moderate,Poorly soluble,Moderately toxic
pyrazinamide,Low,Sparingly soluble,Moderately toxic
pyridostigmine,Moderate,Sparingly soluble,Moderately toxic
pyridoxine,High,Sparingly soluble,Mildly toxic
pyrimethamine,Low,Sparingly soluble,Moderately toxic
pyrithione zinc,Moderate,Water-soluble,Mildly toxic
quetiapine,Low,Poorly soluble,Mildly toxic
quinapril,Moderate,Poorly soluble,Highly toxic
quinidine,High,Poorly soluble,Moderately toxic
rabeprazole,High,Sparingly soluble,Mildly toxic
"rabies immune globulin, human",Low,Sparingly soluble,Moderately toxic
"rabies vaccine, human diploid cell",Moderate,Poorly soluble,Moderately toxic
"rabies vaccine, purified chick embryo cell",Low,Sparingly soluble,Highly toxic
raloxifene,Low,Poorly soluble,Moderately toxic
raltegravir,Moderate,Poorly soluble,Highly toxic
ramipril,Moderate,Poorly soluble,Mildly toxic
ramucirumab,Moderate,Poorly soluble,Moderately toxic
ranibizumab,High,Poorly soluble,Mildly toxic
ranitidine,Low,Poorly soluble,Moderately toxic
ranolazine,Low,Poorly soluble,Mildly toxic
rasagiline,High,Sparingly soluble,Moderately toxic
rasburicase,Moderate,Poorly soluble,Moderately toxic
regadenoson,High,Poorly soluble,Moderately toxic
regorafenib,High,Sparingly soluble,Moderately toxic
resorcinol,High,Sparingly soluble,Moderately toxic
retapamulin,Low,Sparingly soluble,Moderately toxic
rho (d) immune globulin,High,Poorly soluble,Moderately toxic
ribavirin,Low,Water-soluble,Moderately toxic
rifabutin,Low,Water-soluble,Moderately toxic
rifampin,Low,Sparingly soluble,Mildly toxic
rifapentine,Moderate,Water-soluble,Highly toxic
rifaximin,Low,Sparingly soluble,Moderately toxic
rilonacept,Low,Poorly soluble,Highly toxic
riluzole,Moderate,Water-soluble,Moderately toxic
rimabotulinumtoxinB,Low,Poorly soluble,Moderately toxic
rimantadine,High,Water-soluble,Mildly toxic
riociguat,High,Poorly soluble,Mildly toxic
risedronate,Low,Water-soluble,Highly toxic
risperidone,Moderate,Poorly soluble,Mildly toxic
ritonavir,High,Poorly soluble,Mildly toxic
rituximab,Moderate,Water-soluble,Highly toxic
rivaroxaban,Moderate,Poorly soluble,Mildly toxic
rivastigmine,High,Poorly soluble,Moderately toxic
rizatriptan,Moderate,Poorly soluble,Highly toxic
rocuronium,High,Water-soluble,Highly toxic
roflumilast,Moderate,Water-soluble,Moderately toxic
romidepsin,High,Poorly soluble,Mildly toxic
romiplostim,Low,Poorly soluble,Highly toxic
ropinirole,High,Water-soluble,Highly toxic
ropivacaine,High,Water-soluble,Moderately toxic
rosiglitazone,High,Poorly soluble,Moderately toxic
rosuvastatin,High,Poorly soluble,Mildly toxic
rotavirus vaccine,Moderate,Poorly soluble,Highly toxic
rotigotine,Low,Sparingly soluble,Mildly toxic
rubidium chloride rb-82,High,Water-soluble,Mildly toxic
rufinamide,Moderate,Sparingly soluble,Moderately toxic
ruxolitinib,Low,Water-soluble,Highly toxic
saccharomyces boulardii lyo,Low,Water-soluble,Highly toxic
sacrosidase,Low,Water-soluble,Highly toxic
salicylic acid,Low,Water-soluble,Moderately toxic
salicylic acid / sulfur,High,Water-soluble,Moderately toxic
salicylic acid / urea,High,Water-soluble,Moderately toxic
saliva substitutes,Moderate,Water-soluble,Moderately toxic
salmeterol,Moderate,Sparingly soluble,Moderately toxic
sapropterin,Moderate,Poorly soluble,Highly toxic
sargramostim,Low,Poorly soluble,Mildly toxic
scopolamine,Low,Sparingly soluble,Highly toxic
secnidazole,High,Sparingly soluble,Mildly toxic
secukinumab,Low,Sparingly soluble,Moderately toxic
selegiline,Low,Sparingly soluble,Mildly toxic
selenium,Low,Water-soluble,Highly toxic
selenium sulfide,Moderate,Poorly soluble,Highly toxic
semaglutide,Moderate,Water-soluble,Mildly toxic
sertraline,High,Poorly soluble,Moderately toxic
sevelamer,Low,Poorly soluble,Moderately toxic
sildenafil,Low,Sparingly soluble,Highly toxic
silodosin,High,Water-soluble,Mildly toxic
siltuximab,Low,Sparingly soluble,Moderately toxic
silver,Low,Water-soluble,Moderately toxic
silver nitrate,Moderate,Poorly soluble,Highly toxic
silver sulfadiazine,High,Sparingly soluble,Moderately toxic
simethicone,High,Sparingly soluble,Mildly toxic
simvastatin,High,Poorly soluble,Highly toxic
sincalide,High,Poorly soluble,Highly toxic
sinecatechins,Moderate,Poorly soluble,Mildly toxic
sirolimus,Moderate,Sparingly soluble,Highly toxic
sitagliptin,Low,Water-soluble,Moderately toxic
smallpox and monkeypox vaccine,Low,Sparingly soluble,Moderately toxic
smallpox vaccine,Low,Water-soluble,Mildly toxic
sodium acetate,Low,Sparingly soluble,Moderately toxic
sodium benzoate / sodium phenylacetate,Moderate,Sparingly soluble,Mildly toxic
sodium bicarbonate,High,Poorly soluble,Mildly toxic
sodium chloride,Moderate,Water-soluble,Moderately toxic
sodium chondroitin sulfate / sodium hyaluronate,Low,Sparingly soluble,Mildly toxic
sodium hyaluronate,Moderate,Sparingly soluble,Moderately toxic
sodium hypochlorite,High,Poorly soluble,Highly toxic
sodium iodide-i-131,High,Poorly soluble,Highly toxic
sodium nitrite,Moderate,Water-soluble,Mildly toxic
sodium nitrite / sodium thiosulfate,Moderate,Sparingly soluble,Moderately toxic
sodium oxybate,Moderate,Water-soluble,Moderately toxic
sodium phenylbutyrate,Low,Sparingly soluble,Highly toxic
sodium polystyrene sulfonate,Moderate,Water-soluble,Highly toxic
sodium thiosulfate,Moderate,Poorly soluble,Moderately toxic
sodium zirconium cyclosilicate,Moderate,Sparingly soluble,Mildly toxic
sofosbuvir,High,Water-soluble,Highly toxic
sofosbuvir / velpatasvir,High,Poorly soluble,Mildly toxic
sofosbuvir / velpatasvir / voxilaprevir,Low,Poorly soluble,Mildly toxic
solifenacin,Low,Water-soluble,Highly toxic
solriamfetol,High,Sparingly soluble,Mildly toxic
somatropin,High,Sparingly soluble,Mildly toxic
sonidegib,High,Poorly soluble,Moderately toxic
sorafenib,Moderate,Sparingly soluble,Mildly toxic
sotalol,Moderate,Sparingly soluble,Moderately toxic
spinosad,High,Sparingly soluble,Highly toxic
spironolactone,Moderate,Poorly soluble,Highly toxic
sterile talc,Moderate,Water-soluble,Moderately toxic
stiripentol,Low,Sparingly soluble,Highly toxic
streptomycin,High,Poorly soluble,Mildly toxic
streptozocin,High,Poorly soluble,Mildly toxic
succimer,Moderate,Water-soluble,Mildly toxic
sucralfate,High,Sparingly soluble,Highly toxic
sucroferric oxyhydroxide,Low,Sparingly soluble,Mildly toxic
sugammadex,Low,Water-soluble,Highly toxic
sulconazole,Low,Water-soluble,Mildly toxic
sulfacetamide sodium,High,Poorly soluble,Moderately toxic
sulfacetamide sodium / sulfur,High,Poorly soluble,Highly toxic
sulfamethoxazole / trimethoprim,High,Water-soluble,Highly toxic
sulfasalazine,High,Sparingly soluble,Mildly toxic
sulindac,High,Poorly soluble,Highly toxic
sumatriptan,Low,Poorly soluble,Highly toxic
sunitinib,Moderate,Sparingly soluble,Moderately toxic
tacrolimus,Low,Poorly soluble,Moderately toxic
tadalafil,High,Sparingly soluble,Mildly toxic
tafamidis,Low,Sparingly soluble,Moderately toxic
tafenoquine,High,Sparingly soluble,Mildly toxic
tafluprost,High,Water-soluble,Mildly toxic
taliglucerase alfa,Low,Water-soluble,Mildly toxic
talimogene laherparepvec,High,Water-soluble,Highly toxic
tamoxifen,Moderate,Sparingly soluble,Moderately toxic
tamsulosin,High,Sparingly soluble,Mildly toxic
tapentadol,Moderate,Water-soluble,Moderately toxic
tavaborole,Moderate,Poorly soluble,Mildly toxic
tazarotene,High,Sparingly soluble,Moderately toxic
tazemetostat,Low,Poorly soluble,Moderately toxic
tbo-filgrastim,Moderate,Poorly soluble,Mildly toxic
tecovirimat,Low,Sparingly soluble,Highly toxic
teduglutide,Moderate,Sparingly soluble,Moderately toxic
tegaserod,High,Poorly soluble,Highly toxic
telmisartan,High,Poorly soluble,Highly toxic
temazepam,Moderate,Water-soluble,Mildly toxic
temozolomide,High,Water-soluble,Mildly toxic
temsirolimus,Moderate,Sparingly soluble,Mildly toxic
teniposide,High,Water-soluble,Moderately toxic
tenofovir,Low,Water-soluble,Mildly toxic
tenofovir alafenamide,High,Water-soluble,Mildly toxic
terazosin,Low,Water-soluble,Moderately toxic
terbinafine,High,Poorly soluble,Moderately toxic
terbutaline,Low,Sparingly soluble,Mildly toxic
terconazole,High,Water-soluble,Mildly toxic
teriflunomide,Low,Poorly soluble,Mildly toxic
teriparatide,Moderate,Poorly soluble,Mildly toxic
testosterone,Moderate,Poorly soluble,Highly toxic
tetanus immune globulin,Low,Water-soluble,Highly toxic
tetrabenazine,High,Water-soluble,Mildly toxic
tetracaine,Low,Sparingly soluble,Highly toxic
tetracycline,High,Water-soluble,Moderately toxic
tetrahydrozoline,Moderate,Water-soluble,Highly toxic
tetrofosmin,High,Poorly soluble,Highly toxic
thalidomide,Moderate,Sparingly soluble,Mildly toxic
theophylline,High,Water-soluble,Highly toxic
thiamine,High,Water-soluble,Highly toxic
thiotepa,High,Poorly soluble,Highly toxic
thrombin,Low,Poorly soluble,Highly toxic
thyroid desiccated,Low,Water-soluble,Moderately toxic
thyrotropin alpha,Moderate,Sparingly soluble,Mildly toxic
ticagrelor,Moderate,Sparingly soluble,Mildly toxic
ticlopidine,Low,Poorly soluble,Moderately toxic
timolol,Moderate,Poorly soluble,Highly toxic
tinidazole,Low,Water-soluble,Moderately toxic
tioconazole,High,Poorly soluble,Highly toxic
tiotropium,Moderate,Water-soluble,Moderately toxic
tipiracil / trifluridine,Moderate,Sparingly soluble,Mildly toxic
tirofiban,Low,Sparingly soluble,Mildly toxic
tisagenlecleucel,Moderate,Water-soluble,Mildly toxic
tizanidine,Moderate,Poorly soluble,Highly toxic
tobramycin,High,Sparingly soluble,Highly toxic
tocilizumab,Moderate,Poorly soluble,Moderately toxic
tolmetin,High,Sparingly soluble,Moderately toxic
tolnaftate,Low,Water-soluble,Mildly toxic
tolterodine,Moderate,Water-soluble,Highly toxic
tolvaptan,High,Water-soluble,Moderately toxic
topiramate,Low,Sparingly soluble,Highly toxic
topotecan,Moderate,Poorly soluble,Highly toxic
torsemide,Low,Poorly soluble,Mildly toxic
trabectedin,Moderate,Poorly soluble,Mildly toxic
trace elements,Low,Sparingly soluble,Highly toxic
tramadol,Low,Sparingly soluble,Highly toxic
trametinib,High,Sparingly soluble,Highly toxic
trandolapril,Low,Sparingly soluble,Highly toxic
tranexamic acid,Moderate,Sparingly soluble,Mildly toxic
trastuzumab,Moderate,Poorly soluble,Moderately toxic
travoprost,High,Sparingly soluble,Mildly toxic
trazodone,Moderate,Sparingly soluble,Moderately toxic
treprostinil,Moderate,Poorly soluble,Highly toxic
tretinoin,Moderate,Sparingly soluble,Moderately toxic
triamcinolone,Low,Poorly soluble,Mildly toxic
triamterene,Low,Poorly soluble,Mildly toxic
trientine,Moderate,Water-soluble,Highly toxic
trifluridine,High,Water-soluble,Mildly toxic
trihexyphenidyl,Low,Water-soluble,Highly toxic
trimethoprim,High,Water-soluble,Mildly toxic
triprolidine,Moderate,Sparingly soluble,Mildly toxic
triptorelin,Moderate,Water-soluble,Highly toxic
trolamine salicylate,Low,Poorly soluble,Moderately toxic
tropicamide,Moderate,Sparingly soluble,Mildly toxic
trospium,Low,Water-soluble,Moderately toxic
trypan blue,Moderate,Poorly soluble,Mildly toxic
"typhoid vaccine, live",Moderate,Sparingly soluble,Mildly toxic
ulipristal,Low,Sparingly soluble,Mildly toxic
umeclidinium,Low,Water-soluble,Mildly toxic
umeclidinium / vilanterol,Low,Sparingly soluble,Moderately toxic
undecylenic acid,Moderate,Poorly soluble,Moderately toxic
urea,Moderate,Sparingly soluble,Mildly toxic
uridine,High,Poorly soluble,Mildly toxic
urofollitropin,Low,Sparingly soluble,Moderately toxic
urokinase,Moderate,Water-soluble,Highly toxic
ursodiol,Moderate,Poorly soluble,Highly toxic
ustekinumab,Low,Sparingly soluble,Moderately toxic
valacyclovir,High,Sparingly soluble,Mildly toxic
valbenazine,Low,Sparingly soluble,Mildly toxic
valganciclovir,High,Poorly soluble,Highly toxic
valproic acid,Moderate,Poorly soluble,Highly toxic
valrubicin,High,Poorly soluble,Moderately toxic
valsartan,Moderate,Water-soluble,Highly toxic
vancomycin,Low,Water-soluble,Moderately toxic
vandetanib,Low,Poorly soluble,Highly toxic
vardenafil,Low,Sparingly soluble,Highly toxic
varenicline,High,Water-soluble,Highly toxic
varicella zoster immune globulin,Moderate,Poorly soluble,Mildly toxic
vasopressin,Low,Sparingly soluble,Mildly toxic
vedolizumab,Low,Water-soluble,Mildly toxic
venetoclax,Moderate,Sparingly soluble,Highly toxic
venlafaxine,Low,Sparingly soluble,Moderately toxic
verapamil,Moderate,Sparingly soluble,Moderately toxic
verteporfin,Moderate,Sparingly soluble,Moderately toxic
vestronidase alfa,Moderate,Water-soluble,Moderately toxic
vinblastine,Moderate,Water-soluble,Mildly toxic
vincristine,Moderate,Water-soluble,Mildly toxic
vincristine liposome,High,Poorly soluble,Highly toxic
vismodegib,Low,Water-soluble,Highly toxic
vitamin a & d,High,Sparingly soluble,Moderately toxic
vitamin e,Low,Water-soluble,Mildly toxic
"vitamins a, d, and e",High,Sparingly soluble,Moderately toxic
vorapaxar,Moderate,Poorly soluble,Highly toxic
voretigene neparvovec,Low,Sparingly soluble,Highly toxic
voriconazole,Low,Sparingly soluble,Moderately toxic
vorinostat,High,Sparingly soluble,Highly toxic
warfarin,High,Poorly soluble,Moderately toxic
xylometazoline,Low,Water-soluble,Mildly toxic
zanamivir,High,Water-soluble,Moderately toxic
zidovudine,High,Poorly soluble,Mildly toxic
zinc acetate,High,Sparingly soluble,Mildly toxic
zinc oxide,Moderate,Water-soluble,Highly toxic
ziprasidone,Moderate,Poorly soluble,Highly toxic
zoledronic acid,High,Water-soluble,Highly toxic
zolmitriptan,High,Poorly soluble,Moderately toxic
zolpidem,Moderate,Sparingly soluble,Moderately toxic
zonisamide,Moderate,Water-soluble,Highly toxic
zoster vaccine live,Low,Poorly soluble,Moderately toxic
"zoster vaccine, inactivated",Low,Water-soluble,Highly toxic
