Drug,Age_Group,Base_Dose,Multiplier
becaplermin,OldAge,258,0.75
cadexomer iodine,Infant,396,0.3
cadexomer iodine,Adult,396,1.0
cadexomer iodine,OldAge,396,0.75
imipramine,Infant,356,0.3
imipramine,Adult,356,1.0
imipramine,OldAge,356,0.75
belladonna,Infant,397,0.3
belladonna,Adult,397,1.0
belladonna,OldAge,397,0.75
praziquantel,Infant,312,0.3
praziquantel,Adult,312,1.0
praziquantel,OldAge,312,0.75
apremilast,Infant,347,0.3
apremilast,Adult,347,1.0
apremilast,OldAge,347,0.75
simethicone,Infant,294,0.3
simethicone,Adult,294,1.0
simethicone,OldAge,294,0.75
aluminum hydroxide / magnesium hydroxide / simethicone,Infant,272,0.3
aluminum hydroxide / magnesium hydroxide / simethicone,Adult,272,1.0
aluminum hydroxide / magnesium hydroxide / simethicone,OldAge,272,0.75
modafinil,Infant,140,0.3
modafinil,Adult,140,1.0
modafinil,OldAge,140,0.75
armodafinil,Infant,360,0.3
armodafinil,Adult,360,1.0
armodafinil,OldAge,360,0.75
tamsulosin,Infant,355,0.3
tamsulosin,Adult,355,1.0
tamsulosin,OldAge,355,0.75
doxazosin,Infant,322,0.3
doxazosin,Adult,322,1.0
doxazosin,OldAge,322,0.75
terazosin,Infant,244,0.3
terazosin,Adult,244,1.0
terazosin,OldAge,244,0.75
alfuzosin,Infant,199,0.3
alfuzosin,Adult,199,1.0
alfuzosin,OldAge,199,0.75
tadalafil,Infant,351,0.3
tadalafil,Adult,351,1.0
tadalafil,OldAge,351,0.75
dutasteride,Infant,467,0.3
dutasteride,Adult,467,1.0
dutasteride,OldAge,467,0.75
silodosin,Infant,79,0.3
silodosin,Adult,79,1.0
silodosin,OldAge,79,0.75
dutasteride / tamsulosin,Infant,331,0.3
dutasteride / tamsulosin,Adult,331,1.0
dutasteride / tamsulosin,OldAge,331,0.75
flumazenil,Infant,368,0.3
flumazenil,Adult,368,1.0
flumazenil,OldAge,368,0.75
thiamine,Infant,267,0.3
thiamine,Adult,267,1.0
thiamine,OldAge,267,0.75
luspatercept,Infant,81,0.3
luspatercept,Adult,81,1.0
luspatercept,OldAge,81,0.75
cholic acid,Infant,193,0.3
cholic acid,Adult,193,1.0
cholic acid,OldAge,193,0.75
ursodiol,Infant,138,0.3
ursodiol,Adult,138,1.0
ursodiol,OldAge,138,0.75
obeticholic acid,Infant,362,0.3
obeticholic acid,Adult,362,1.0
obeticholic acid,OldAge,362,0.75
lamotrigine,Infant,113,0.3
lamotrigine,Adult,113,1.0
lamotrigine,OldAge,113,0.75
lithium,Infant,217,0.3
lithium,Adult,217,1.0
lithium,OldAge,217,0.75
divalproex sodium,Infant,74,0.3
divalproex sodium,Adult,74,1.0
divalproex sodium,OldAge,74,0.75
allopurinol,Infant,228,0.3
allopurinol,Adult,228,1.0
allopurinol,OldAge,228,0.75
magnesium oxide,Infant,102,0.3
magnesium oxide,Adult,102,1.0
magnesium oxide,OldAge,102,0.75
citric acid / potassium citrate,Infant,113,0.3
citric acid / potassium citrate,Adult,113,1.0
citric acid / potassium citrate,OldAge,113,0.75
atezolizumab,Infant,371,0.3
atezolizumab,Adult,371,1.0
atezolizumab,OldAge,371,0.75
thiotepa,Infant,392,0.3
thiotepa,Adult,392,1.0
thiotepa,OldAge,392,0.75
erdafitinib,Infant,341,0.3
erdafitinib,Adult,341,1.0
erdafitinib,OldAge,341,0.75
darifenacin,Infant,239,0.3
darifenacin,Adult,239,1.0
darifenacin,OldAge,239,0.75
onabotulinumtoxina,Infant,73,0.3
onabotulinumtoxina,Adult,73,1.0
onabotulinumtoxina,OldAge,73,0.75
cefpodoxime,Infant,289,0.3
cefpodoxime,Adult,289,1.0
cefpodoxime,OldAge,289,0.75
fosfomycin,Infant,227,0.3
fosfomycin,Adult,227,1.0
fosfomycin,OldAge,227,0.75
phenazopyridine,Infant,252,0.3
phenazopyridine,Adult,252,1.0
phenazopyridine,OldAge,252,0.75
pentosan polysulfate sodium,Infant,105,0.3
pentosan polysulfate sodium,Adult,105,1.0
pentosan polysulfate sodium,OldAge,105,0.75
trospium,Infant,51,0.3
trospium,Adult,51,1.0
trospium,OldAge,51,0.75
dimethyl sulfoxide,Infant,225,0.3
dimethyl sulfoxide,Adult,225,1.0
dimethyl sulfoxide,OldAge,225,0.75
oxybutynin,Infant,480,0.3
oxybutynin,Adult,480,1.0
oxybutynin,OldAge,480,0.75
tolterodine,Infant,237,0.3
tolterodine,Adult,237,1.0
tolterodine,OldAge,237,0.75
mirabegron,Infant,84,0.3
mirabegron,Adult,84,1.0
mirabegron,OldAge,84,0.75
solifenacin,Infant,388,0.3
solifenacin,Adult,388,1.0
solifenacin,OldAge,388,0.75
fesoterodine,Infant,424,0.3
fesoterodine,Adult,424,1.0
fesoterodine,OldAge,424,0.75
fluconazole,Infant,172,0.3
fluconazole,Adult,172,1.0
fluconazole,OldAge,172,0.75
tranexamic acid,Infant,259,0.3
tranexamic acid,Adult,259,1.0
tranexamic acid,OldAge,259,0.75
goserelin,Infant,98,0.3
goserelin,Adult,98,1.0
goserelin,OldAge,98,0.75
"dextran, high molecular weight",Infant,183,0.3
"dextran, high molecular weight",Adult,183,1.0
"dextran, high molecular weight",OldAge,183,0.75
prednisolone / sulfacetamide sodium,Infant,328,0.3
prednisolone / sulfacetamide sodium,Adult,328,1.0
prednisolone / sulfacetamide sodium,OldAge,328,0.75
gentamicin / prednisolone,Infant,235,0.3
gentamicin / prednisolone,Adult,235,1.0
gentamicin / prednisolone,OldAge,235,0.75
incobotulinumtoxina,Infant,206,0.3
incobotulinumtoxina,Adult,206,1.0
incobotulinumtoxina,OldAge,206,0.75
pseudoephedrine,Infant,235,0.3
pseudoephedrine,Adult,235,1.0
pseudoephedrine,OldAge,235,0.75
phenylephrine,Infant,193,0.3
phenylephrine,Adult,193,1.0
phenylephrine,OldAge,193,0.75
oxymetazoline,Infant,379,0.3
oxymetazoline,Adult,379,1.0
oxymetazoline,OldAge,379,0.75
loratadine / pseudoephedrine,Infant,432,0.3
loratadine / pseudoephedrine,Adult,432,1.0
loratadine / pseudoephedrine,OldAge,432,0.75
sodium chloride,Infant,114,0.3
sodium chloride,Adult,114,1.0
sodium chloride,OldAge,114,0.75
xylometazoline,Infant,354,0.3
xylometazoline,Adult,354,1.0
xylometazoline,OldAge,354,0.75
apixaban,Infant,130,0.3
apixaban,Adult,130,1.0
apixaban,OldAge,130,0.75
dabigatran,Infant,191,0.3
dabigatran,Adult,191,1.0
dabigatran,OldAge,191,0.75
fondaparinux,Infant,291,0.3
fondaparinux,Adult,291,1.0
fondaparinux,OldAge,291,0.75
edoxaban,Infant,84,0.3
edoxaban,Adult,84,1.0
edoxaban,OldAge,84,0.75
urokinase,Infant,73,0.3
urokinase,Adult,73,1.0
urokinase,OldAge,73,0.75
hetastarch,Infant,226,0.3
hetastarch,Adult,226,1.0
hetastarch,OldAge,226,0.75
nortriptyline,Infant,234,0.3
nortriptyline,Adult,234,1.0
nortriptyline,OldAge,234,0.75
capsaicin,Infant,254,0.3
capsaicin,Adult,254,1.0
capsaicin,OldAge,254,0.75
ioversol,Infant,359,0.3
ioversol,Adult,359,1.0
ioversol,OldAge,359,0.75
permethrin,Infant,118,0.3
permethrin,Adult,118,1.0
permethrin,OldAge,118,0.75
lindane,Infant,311,0.3
lindane,Adult,311,1.0
lindane,OldAge,311,0.75
piperonyl butoxide / pyrethrins,Infant,85,0.3
piperonyl butoxide / pyrethrins,Adult,85,1.0
piperonyl butoxide / pyrethrins,OldAge,85,0.75
spinosad,Infant,272,0.3
spinosad,Adult,272,1.0
spinosad,OldAge,272,0.75
dactinomycin,Infant,367,0.3
dactinomycin,Adult,367,1.0
dactinomycin,OldAge,367,0.75
dicloxacillin,Infant,443,0.3
dicloxacillin,Adult,443,1.0
dicloxacillin,OldAge,443,0.75
busulfan,Infant,452,0.3
busulfan,Adult,452,1.0
busulfan,OldAge,452,0.75
denosumab,Infant,387,0.3
denosumab,Adult,387,1.0
denosumab,OldAge,387,0.75
zoledronic acid,Infant,456,0.3
zoledronic acid,Adult,456,1.0
zoledronic acid,OldAge,456,0.75
pamidronate,Infant,394,0.3
pamidronate,Adult,394,1.0
pamidronate,OldAge,394,0.75
calcium / vitamin d,Infant,111,0.3
calcium / vitamin d,Adult,111,1.0
calcium / vitamin d,OldAge,111,0.75
calcium carbonate,Infant,354,0.3
calcium carbonate,Adult,354,1.0
calcium carbonate,OldAge,354,0.75
risedronate,Infant,347,0.3
risedronate,Adult,347,1.0
risedronate,OldAge,347,0.75
ibandronate,Infant,62,0.3
ibandronate,Adult,62,1.0
ibandronate,OldAge,62,0.75
raloxifene,Infant,281,0.3
raloxifene,Adult,281,1.0
raloxifene,OldAge,281,0.75
calcitonin,Infant,155,0.3
calcitonin,Adult,155,1.0
calcitonin,OldAge,155,0.75
teriparatide,Infant,77,0.3
teriparatide,Adult,77,1.0
teriparatide,OldAge,77,0.75
clozapine,Infant,486,0.3
clozapine,Adult,486,1.0
clozapine,OldAge,486,0.75
lurasidone,Infant,82,0.3
lurasidone,Adult,82,1.0
lurasidone,OldAge,82,0.75
l-methylfolate,Infant,147,0.3
l-methylfolate,Adult,147,1.0
l-methylfolate,OldAge,147,0.75
asenapine,Infant,139,0.3
asenapine,Adult,139,1.0
asenapine,OldAge,139,0.75
botulism immune globulin,Infant,326,0.3
botulism immune globulin,Adult,326,1.0
botulism immune globulin,OldAge,326,0.75
botulism antitoxin,Infant,277,0.3
botulism antitoxin,Adult,277,1.0
botulism antitoxin,OldAge,277,0.75
polyethylene glycol 3350,Infant,488,0.3
polyethylene glycol 3350,Adult,488,1.0
polyethylene glycol 3350,OldAge,488,0.75
bisacodyl,Infant,266,0.3
bisacodyl,Adult,266,1.0
bisacodyl,OldAge,266,0.75
polyethylene glycol 3350 with electrolytes,Infant,383,0.3
polyethylene glycol 3350 with electrolytes,Adult,383,1.0
polyethylene glycol 3350 with electrolytes,OldAge,383,0.75
magnesium sulfate / potassium sulfate / sodium sulfate,Infant,409,0.3
magnesium sulfate / potassium sulfate / sodium sulfate,Adult,409,1.0
magnesium sulfate / potassium sulfate / sodium sulfate,OldAge,409,0.75
citric acid / magnesium oxide / sodium picosulfate,Infant,439,0.3
citric acid / magnesium oxide / sodium picosulfate,Adult,439,1.0
citric acid / magnesium oxide / sodium picosulfate,OldAge,439,0.75
neomycin,Infant,328,0.3
neomycin,Adult,328,1.0
neomycin,OldAge,328,0.75
carmustine,Infant,60,0.3
carmustine,Adult,60,1.0
carmustine,OldAge,60,0.75
tamoxifen,Infant,267,0.3
tamoxifen,Adult,267,1.0
tamoxifen,OldAge,267,0.75
anastrozole,Infant,80,0.3
anastrozole,Adult,80,1.0
anastrozole,OldAge,80,0.75
letrozole,Infant,269,0.3
letrozole,Adult,269,1.0
letrozole,OldAge,269,0.75
exemestane,Infant,461,0.3
exemestane,Adult,461,1.0
exemestane,OldAge,461,0.75
paclitaxel,Infant,435,0.3
paclitaxel,Adult,435,1.0
paclitaxel,OldAge,435,0.75
trastuzumab,Infant,163,0.3
trastuzumab,Adult,163,1.0
trastuzumab,OldAge,163,0.75
epirubicin,Infant,260,0.3
epirubicin,Adult,260,1.0
epirubicin,OldAge,260,0.75
leuprolide,Infant,107,0.3
leuprolide,Adult,107,1.0
leuprolide,OldAge,107,0.75
neratinib,Infant,239,0.3
neratinib,Adult,239,1.0
neratinib,OldAge,239,0.75
palbociclib,Infant,290,0.3
palbociclib,Adult,290,1.0
palbociclib,OldAge,290,0.75
alpelisib,Infant,457,0.3
alpelisib,Adult,457,1.0
alpelisib,OldAge,457,0.75
fulvestrant,Infant,278,0.3
fulvestrant,Adult,278,1.0
fulvestrant,OldAge,278,0.75
docetaxel,Infant,456,0.3
docetaxel,Adult,456,1.0
docetaxel,OldAge,456,0.75
eribulin,Infant,358,0.3
eribulin,Adult,358,1.0
eribulin,OldAge,358,0.75
testosterone,Infant,443,0.3
testosterone,Adult,443,1.0
testosterone,OldAge,443,0.75
methyltestosterone,Infant,492,0.3
methyltestosterone,Adult,492,1.0
methyltestosterone,OldAge,492,0.75
fluoxymesterone,Infant,227,0.3
fluoxymesterone,Adult,227,1.0
fluoxymesterone,OldAge,227,0.75
esterified estrogens,Infant,50,0.3
esterified estrogens,Adult,50,1.0
esterified estrogens,OldAge,50,0.75
ethinyl estradiol,Infant,69,0.3
ethinyl estradiol,Adult,69,1.0
ethinyl estradiol,OldAge,69,0.75
metoclopramide,Infant,317,0.3
metoclopramide,Adult,317,1.0
metoclopramide,OldAge,317,0.75
guaifenesin,Infant,288,0.3
guaifenesin,Adult,288,1.0
guaifenesin,OldAge,288,0.75
ribavirin,Infant,484,0.3
ribavirin,Adult,484,1.0
ribavirin,OldAge,484,0.75
palivizumab,Infant,100,0.3
palivizumab,Adult,100,1.0
palivizumab,OldAge,100,0.75
aclidinium,Infant,472,0.3
aclidinium,Adult,472,1.0
aclidinium,OldAge,472,0.75
roflumilast,Infant,346,0.3
roflumilast,Adult,346,1.0
roflumilast,OldAge,346,0.75
umeclidinium / vilanterol,Infant,312,0.3
umeclidinium / vilanterol,Adult,312,1.0
umeclidinium / vilanterol,OldAge,312,0.75
olodaterol / tiotropium,Infant,310,0.3
olodaterol / tiotropium,Adult,310,1.0
olodaterol / tiotropium,OldAge,310,0.75
dyphylline,Infant,183,0.3
dyphylline,Adult,183,1.0
dyphylline,OldAge,183,0.75
fluticasone / umeclidinium / vilanterol,Infant,195,0.3
fluticasone / umeclidinium / vilanterol,Adult,195,1.0
fluticasone / umeclidinium / vilanterol,OldAge,195,0.75
olodaterol,Infant,289,0.3
olodaterol,Adult,289,1.0
olodaterol,OldAge,289,0.75
umeclidinium,Infant,259,0.3
umeclidinium,Adult,259,1.0
umeclidinium,OldAge,259,0.75
cimetidine,Infant,279,0.3
cimetidine,Adult,279,1.0
cimetidine,OldAge,279,0.75
formoterol,Infant,172,0.3
formoterol,Adult,172,1.0
formoterol,OldAge,172,0.75
streptomycin,Infant,358,0.3
streptomycin,Adult,358,1.0
streptomycin,OldAge,358,0.75
argatroban,Infant,295,0.3
argatroban,Adult,295,1.0
argatroban,OldAge,295,0.75
alteplase,Infant,81,0.3
alteplase,Adult,81,1.0
alteplase,OldAge,81,0.75
dapsone,Infant,156,0.3
dapsone,Adult,156,1.0
dapsone,OldAge,156,0.75
rituximab,Infant,159,0.3
rituximab,Adult,159,1.0
rituximab,OldAge,159,0.75
silver sulfadiazine,Infant,444,0.3
silver sulfadiazine,Adult,444,1.0
silver sulfadiazine,OldAge,444,0.75
vitamin a & d,Infant,249,0.3
vitamin a & d,Adult,249,1.0
vitamin a & d,OldAge,249,0.75
desvenlafaxine,Infant,223,0.3
desvenlafaxine,Adult,223,1.0
desvenlafaxine,OldAge,223,0.75
fidaxomicin,Infant,272,0.3
fidaxomicin,Adult,272,1.0
fidaxomicin,OldAge,272,0.75
penicillin v potassium,Infant,299,0.3
penicillin v potassium,Adult,299,1.0
penicillin v potassium,OldAge,299,0.75
daptomycin,Infant,355,0.3
daptomycin,Adult,355,1.0
daptomycin,OldAge,355,0.75
dalfopristin / quinupristin,Infant,346,0.3
dalfopristin / quinupristin,Adult,346,1.0
dalfopristin / quinupristin,OldAge,346,0.75
carboplatin,Infant,448,0.3
carboplatin,Adult,448,1.0
carboplatin,OldAge,448,0.75
etoposide,Infant,266,0.3
etoposide,Adult,266,1.0
etoposide,OldAge,266,0.75
chlorambucil,Infant,157,0.3
chlorambucil,Adult,157,1.0
chlorambucil,OldAge,157,0.75
ifosfamide,Infant,196,0.3
ifosfamide,Adult,196,1.0
ifosfamide,OldAge,196,0.75
vinblastine,Infant,194,0.3
vinblastine,Adult,194,1.0
vinblastine,OldAge,194,0.75
topotecan,Infant,104,0.3
topotecan,Adult,104,1.0
topotecan,OldAge,104,0.75
fludarabine,Infant,470,0.3
fludarabine,Adult,470,1.0
fludarabine,OldAge,470,0.75
pembrolizumab,Infant,380,0.3
pembrolizumab,Adult,380,1.0
pembrolizumab,OldAge,380,0.75
ibrutinib,Infant,211,0.3
ibrutinib,Adult,211,1.0
ibrutinib,OldAge,211,0.75
bendamustine,Infant,172,0.3
bendamustine,Adult,172,1.0
bendamustine,OldAge,172,0.75
idelalisib,Infant,200,0.3
idelalisib,Adult,200,1.0
idelalisib,OldAge,200,0.75
obinutuzumab,Infant,81,0.3
obinutuzumab,Adult,81,1.0
obinutuzumab,OldAge,81,0.75
alemtuzumab,Infant,194,0.3
alemtuzumab,Adult,194,1.0
alemtuzumab,OldAge,194,0.75
ofatumumab,Infant,206,0.3
ofatumumab,Adult,206,1.0
ofatumumab,OldAge,206,0.75
nilotinib,Infant,77,0.3
nilotinib,Adult,77,1.0
nilotinib,OldAge,77,0.75
anagrelide,Infant,171,0.3
anagrelide,Adult,171,1.0
anagrelide,OldAge,171,0.75
bosutinib,Infant,100,0.3
bosutinib,Adult,100,1.0
bosutinib,OldAge,100,0.75
omacetaxine,Infant,424,0.3
omacetaxine,Adult,424,1.0
omacetaxine,OldAge,424,0.75
peginterferon alfa-2b,Infant,226,0.3
peginterferon alfa-2b,Adult,226,1.0
peginterferon alfa-2b,OldAge,226,0.75
oxaliplatin,Infant,100,0.3
oxaliplatin,Adult,100,1.0
oxaliplatin,OldAge,100,0.75
irinotecan,Infant,314,0.3
irinotecan,Adult,314,1.0
irinotecan,OldAge,314,0.75
cetuximab,Infant,258,0.3
cetuximab,Adult,258,1.0
cetuximab,OldAge,258,0.75
panitumumab,Infant,466,0.3
panitumumab,Adult,466,1.0
panitumumab,OldAge,466,0.75
regorafenib,Infant,103,0.3
regorafenib,Adult,103,1.0
regorafenib,OldAge,103,0.75
romidepsin,Infant,218,0.3
romidepsin,Adult,218,1.0
romidepsin,OldAge,218,0.75
vorinostat,Infant,453,0.3
vorinostat,Adult,453,1.0
vorinostat,OldAge,453,0.75
bexarotene,Infant,296,0.3
bexarotene,Adult,296,1.0
bexarotene,OldAge,296,0.75
methoxsalen,Infant,251,0.3
methoxsalen,Adult,251,1.0
methoxsalen,OldAge,251,0.75
interferon gamma-1b,Infant,466,0.3
interferon gamma-1b,Adult,466,1.0
interferon gamma-1b,OldAge,466,0.75
niraparib,Infant,134,0.3
niraparib,Adult,134,1.0
niraparib,OldAge,134,0.75
ramucirumab,Infant,361,0.3
ramucirumab,Adult,361,1.0
ramucirumab,OldAge,361,0.75
cladribine,Infant,317,0.3
cladribine,Adult,317,1.0
cladribine,OldAge,317,0.75
pentostatin,Infant,59,0.3
pentostatin,Adult,59,1.0
pentostatin,OldAge,59,0.75
moxetumomab pasudotox,Infant,288,0.3
moxetumomab pasudotox,Adult,288,1.0
moxetumomab pasudotox,OldAge,288,0.75
bleomycin,Infant,115,0.3
bleomycin,Adult,115,1.0
bleomycin,OldAge,115,0.75
dacarbazine,Infant,110,0.3
dacarbazine,Adult,110,1.0
dacarbazine,OldAge,110,0.75
brentuximab,Infant,266,0.3
brentuximab,Adult,266,1.0
brentuximab,OldAge,266,0.75
doxorubicin liposomal,Infant,61,0.3
doxorubicin liposomal,Adult,61,1.0
doxorubicin liposomal,OldAge,61,0.75
alitretinoin,Infant,178,0.3
alitretinoin,Adult,178,1.0
alitretinoin,OldAge,178,0.75
erlotinib,Infant,461,0.3
erlotinib,Adult,461,1.0
erlotinib,OldAge,461,0.75
pemetrexed,Infant,482,0.3
pemetrexed,Adult,482,1.0
pemetrexed,OldAge,482,0.75
gefitinib,Infant,404,0.3
gefitinib,Adult,404,1.0
gefitinib,OldAge,404,0.75
crizotinib,Infant,407,0.3
crizotinib,Adult,407,1.0
crizotinib,OldAge,407,0.75
nelarabine,Infant,187,0.3
nelarabine,Adult,187,1.0
nelarabine,OldAge,187,0.75
bortezomib,Infant,394,0.3
bortezomib,Adult,394,1.0
bortezomib,OldAge,394,0.75
pralatrexate,Infant,499,0.3
pralatrexate,Adult,499,1.0
pralatrexate,OldAge,499,0.75
thalidomide,Infant,84,0.3
thalidomide,Adult,84,1.0
thalidomide,OldAge,84,0.75
carfilzomib,Infant,96,0.3
carfilzomib,Adult,96,1.0
carfilzomib,OldAge,96,0.75
pomalidomide,Infant,255,0.3
pomalidomide,Adult,255,1.0
pomalidomide,OldAge,255,0.75
daratumumab,Infant,126,0.3
daratumumab,Adult,126,1.0
daratumumab,OldAge,126,0.75
melphalan,Infant,251,0.3
melphalan,Adult,251,1.0
melphalan,OldAge,251,0.75
ipilimumab,Infant,216,0.3
ipilimumab,Adult,216,1.0
ipilimumab,OldAge,216,0.75
talimogene laherparepvec,Infant,120,0.3
talimogene laherparepvec,Adult,120,1.0
talimogene laherparepvec,OldAge,120,0.75
ibritumomab,Infant,328,0.3
ibritumomab,Adult,328,1.0
ibritumomab,OldAge,328,0.75
olaparib,Infant,424,0.3
olaparib,Adult,424,1.0
olaparib,OldAge,424,0.75
gemcitabine,Infant,308,0.3
gemcitabine,Adult,308,1.0
gemcitabine,OldAge,308,0.75
paclitaxel protein-bound,Infant,221,0.3
paclitaxel protein-bound,Adult,221,1.0
paclitaxel protein-bound,OldAge,221,0.75
pancreatin,Infant,56,0.3
pancreatin,Adult,56,1.0
pancreatin,OldAge,56,0.75
irinotecan liposomal,Infant,384,0.3
irinotecan liposomal,Adult,384,1.0
irinotecan liposomal,OldAge,384,0.75
streptozocin,Infant,459,0.3
streptozocin,Adult,459,1.0
streptozocin,OldAge,459,0.75
bicalutamide,Infant,321,0.3
bicalutamide,Adult,321,1.0
bicalutamide,OldAge,321,0.75
abiraterone,Infant,216,0.3
abiraterone,Adult,216,1.0
abiraterone,OldAge,216,0.75
enzalutamide,Infant,294,0.3
enzalutamide,Adult,294,1.0
enzalutamide,OldAge,294,0.75
degarelix,Infant,243,0.3
degarelix,Adult,243,1.0
degarelix,OldAge,243,0.75
flutamide,Infant,73,0.3
flutamide,Adult,73,1.0
flutamide,OldAge,73,0.75
triptorelin,Infant,103,0.3
triptorelin,Adult,103,1.0
triptorelin,OldAge,103,0.75
cemiplimab,Infant,393,0.3
cemiplimab,Adult,393,1.0
cemiplimab,OldAge,393,0.75
anidulafungin,Infant,95,0.3
anidulafungin,Adult,95,1.0
anidulafungin,OldAge,95,0.75
micafungin,Infant,490,0.3
micafungin,Adult,490,1.0
micafungin,OldAge,490,0.75
flucytosine,Infant,322,0.3
flucytosine,Adult,322,1.0
flucytosine,OldAge,322,0.75
nystatin,Infant,272,0.3
nystatin,Adult,272,1.0
nystatin,OldAge,272,0.75
nystatin / triamcinolone,Infant,283,0.3
nystatin / triamcinolone,Adult,283,1.0
nystatin / triamcinolone,OldAge,283,0.75
gentian violet,Infant,68,0.3
gentian violet,Adult,68,1.0
gentian violet,OldAge,68,0.75
terconazole,Infant,59,0.3
terconazole,Adult,59,1.0
terconazole,OldAge,59,0.75
tioconazole,Infant,456,0.3
tioconazole,Adult,456,1.0
tioconazole,OldAge,456,0.75
boric acid,Infant,475,0.3
boric acid,Adult,475,1.0
boric acid,OldAge,475,0.75
tazarotene,Infant,408,0.3
tazarotene,Adult,408,1.0
tazarotene,OldAge,408,0.75
abobotulinumtoxina,Infant,395,0.3
abobotulinumtoxina,Adult,395,1.0
abobotulinumtoxina,OldAge,395,0.75
azficel-t,Infant,385,0.3
azficel-t,Adult,385,1.0
azficel-t,OldAge,385,0.75
uridine,Infant,218,0.3
uridine,Adult,218,1.0
uridine,OldAge,218,0.75
rilonacept,Infant,452,0.3
rilonacept,Adult,452,1.0
rilonacept,OldAge,452,0.75
canakinumab,Infant,66,0.3
canakinumab,Adult,66,1.0
canakinumab,OldAge,66,0.75
telotristat,Infant,205,0.3
telotristat,Adult,205,1.0
telotristat,OldAge,205,0.75
perflutren,Infant,50,0.3
perflutren,Adult,50,1.0
perflutren,OldAge,50,0.75
dexrazoxane,Infant,132,0.3
dexrazoxane,Adult,132,1.0
dexrazoxane,OldAge,132,0.75
simvastatin,Infant,463,0.3
simvastatin,Adult,463,1.0
simvastatin,OldAge,463,0.75
ramipril,Infant,121,0.3
ramipril,Adult,121,1.0
ramipril,OldAge,121,0.75
telmisartan,Infant,238,0.3
telmisartan,Adult,238,1.0
telmisartan,OldAge,238,0.75
empagliflozin,Infant,199,0.3
empagliflozin,Adult,199,1.0
empagliflozin,OldAge,199,0.75
liraglutide,Infant,325,0.3
liraglutide,Adult,325,1.0
liraglutide,OldAge,325,0.75
alirocumab,Infant,431,0.3
alirocumab,Adult,431,1.0
alirocumab,OldAge,431,0.75
evolocumab,Infant,434,0.3
evolocumab,Adult,434,1.0
evolocumab,OldAge,434,0.75
canagliflozin / metformin,Infant,163,0.3
canagliflozin / metformin,Adult,163,1.0
canagliflozin / metformin,OldAge,163,0.75
canagliflozin,Infant,369,0.3
canagliflozin,Adult,369,1.0
canagliflozin,OldAge,369,0.75
icosapent,Infant,106,0.3
icosapent,Adult,106,1.0
icosapent,OldAge,106,0.75
semaglutide,Infant,458,0.3
semaglutide,Adult,458,1.0
semaglutide,OldAge,458,0.75
levocarnitine,Infant,192,0.3
levocarnitine,Adult,192,1.0
levocarnitine,OldAge,192,0.75
siltuximab,Infant,85,0.3
siltuximab,Adult,85,1.0
siltuximab,OldAge,85,0.75
sodium oxybate,Infant,293,0.3
sodium oxybate,Adult,293,1.0
sodium oxybate,OldAge,293,0.75
milnacipran,Infant,420,0.3
milnacipran,Adult,420,1.0
milnacipran,OldAge,420,0.75
doxepin,Infant,484,0.3
doxepin,Adult,484,1.0
doxepin,OldAge,484,0.75
desmopressin,Infant,368,0.3
desmopressin,Adult,368,1.0
desmopressin,OldAge,368,0.75
iopromide,Infant,74,0.3
iopromide,Adult,74,1.0
iopromide,OldAge,74,0.75
mannitol,Infant,178,0.3
mannitol,Adult,178,1.0
mannitol,OldAge,178,0.75
trihexyphenidyl,Infant,483,0.3
trihexyphenidyl,Adult,483,1.0
trihexyphenidyl,OldAge,483,0.75
ticlopidine,Infant,234,0.3
ticlopidine,Adult,234,1.0
ticlopidine,OldAge,234,0.75
nimodipine,Infant,491,0.3
nimodipine,Adult,491,1.0
nimodipine,OldAge,491,0.75
carbamide peroxide,Infant,151,0.3
carbamide peroxide,Adult,151,1.0
carbamide peroxide,OldAge,151,0.75
rimabotulinumtoxinb,Infant,400,0.3
rimabotulinumtoxinb,Adult,400,1.0
rimabotulinumtoxinb,OldAge,400,0.75
bupivacaine,Infant,110,0.3
bupivacaine,Adult,110,1.0
bupivacaine,OldAge,110,0.75
ropivacaine,Infant,179,0.3
ropivacaine,Adult,179,1.0
ropivacaine,OldAge,179,0.75
cefotetan,Infant,337,0.3
cefotetan,Adult,337,1.0
cefotetan,OldAge,337,0.75
piperacillin,Infant,489,0.3
piperacillin,Adult,489,1.0
piperacillin,OldAge,489,0.75
esterified estrogens / methyltestosterone,Infant,472,0.3
esterified estrogens / methyltestosterone,Adult,472,1.0
esterified estrogens / methyltestosterone,OldAge,472,0.75
estradiol / progesterone,Infant,448,0.3
estradiol / progesterone,Adult,448,1.0
estradiol / progesterone,OldAge,448,0.75
tizanidine,Infant,123,0.3
tizanidine,Adult,123,1.0
tizanidine,OldAge,123,0.75
methocarbamol,Infant,317,0.3
methocarbamol,Adult,317,1.0
methocarbamol,OldAge,317,0.75
carisoprodol,Infant,74,0.3
carisoprodol,Adult,74,1.0
carisoprodol,OldAge,74,0.75
metaxalone,Infant,445,0.3
metaxalone,Adult,445,1.0
metaxalone,OldAge,445,0.75
chlorzoxazone,Infant,499,0.3
chlorzoxazone,Adult,499,1.0
chlorzoxazone,OldAge,499,0.75
orphenadrine,Infant,395,0.3
orphenadrine,Adult,395,1.0
orphenadrine,OldAge,395,0.75
aspirin / caffeine / orphenadrine,Infant,226,0.3
aspirin / caffeine / orphenadrine,Adult,226,1.0
