,Disease_name,Drug_name,absorption,solubility,toxicity,Due_to_Deficiency_of
6564,Dental Abscess,metronidazole,Low,Lipid-soluble,Non-toxic,Electrolytes
6565,Dental Abscess,clarithromycin,High,Sparingly soluble,Highly toxic,Electrolytes
6566,Dental Abscess,erythromycin,Moderate,Lipid-soluble,Highly toxic,Electrolytes
6567,Gingivitis,chlorhexidine,Low,Poorly soluble,Mildly toxic,Electrolytes
6568,Gingivitis,hydrocortisone,Moderate,Poorly soluble,Highly toxic,Electrolytes
6569,Mucopolysaccharidosis Type VII,vestronidase alfa,Moderate,Lipid-soluble,Highly toxic,Electrolytes
6570,Psoriasis,clobetasol,Low,Water-soluble,Mildly toxic,Collagen Type I
6571,Psoriasis,methotrexate,High,Sparingly soluble,Non-toxic,Collagen Type I
6572,Psoriasis,triamcinolone,Low,Poorly soluble,Non-toxic,Collagen Type I
6573,Psoriasis,fluocinonide,Low,Lipid-soluble,Highly toxic,Collagen Type I
6574,Psoriasis,triamcinolone,Moderate,Sparingly soluble,Mildly toxic,Collagen Type I
6575,Psoriasis,calcipotriene,High,Water-soluble,Non-toxic,Collagen Type I
6576,Psoriasis,mometasone,Low,Lipid-soluble,Mildly toxic,Collagen Type I
6577,Psoriasis,desonide,Low,Poorly soluble,Mildly toxic,Collagen Type I
6578,Psoriasis,prednisone,High,Lipid-soluble,Highly toxic,Collagen Type I
6579,Psoriasis,acitretin,High,Sparingly soluble,Highly toxic,Collagen Type I
6580,Psoriasis,cyclosporine,Low,Lipid-soluble,Non-toxic,Collagen Type I
6581,Psoriasis,hydrocortisone,Moderate,Poorly soluble,Highly toxic,Collagen Type I
6582,Psoriasis,ustekinumab,Moderate,Lipid-soluble,Highly toxic,Collagen Type I
6583,Psoriasis,adalimumab,High,Lipid-soluble,Mildly toxic,Collagen Type I
6584,Psoriasis,betamethasone / calcipotriene,High,Sparingly soluble,Non-toxic,Collagen Type I
6585,Graft-versus-host disease,prednisone,Moderate,Lipid-soluble,Mildly toxic,Electrolytes
6586,Graft-versus-host disease,tacrolimus,High,Lipid-soluble,Non-toxic,Electrolytes
6587,Graft-versus-host disease,ibrutinib,High,Lipid-soluble,Mildly toxic,Electrolytes
6588,Graft-versus-host disease,mycophenolate mofetil,Low,Water-soluble,Non-toxic,Electrolytes
6589,Graft-versus-host disease,methotrexate,High,Sparingly soluble,Non-toxic,Electrolytes
6590,Graft-versus-host disease,cyclosporine,Moderate,Water-soluble,Highly toxic,Electrolytes
6591,Graft-versus-host disease,ruxolitinib,High,Water-soluble,Non-toxic,Electrolytes
6592,Gynecological Conditions,misoprostol,Low,Lipid-soluble,Highly toxic,Electrolytes
6593,Swine Flu,oseltamivir,Moderate,Poorly soluble,Non-toxic,Antibodies
6594,Swine Flu,zanamivir,Moderate,Lipid-soluble,Highly toxic,Antibodies
6595,Swine Flu,peramivir,Low,Sparingly soluble,Mildly toxic,Antibodies
6596,Avian Influenza,oseltamivir,High,Sparingly soluble,Non-toxic,Antibodies
6597,Avian Influenza,"influenza virus vaccine, h5n1",High,Water-soluble,Non-toxic,Antibodies
6598,Methicillin-Resistant Staphylococcus Aureus Infection,vancomycin,Low,Sparingly soluble,Non-toxic,Antibodies
6599,Methicillin-Resistant Staphylococcus Aureus Infection,linezolid,Moderate,Sparingly soluble,Non-toxic,Antibodies
6600,Methicillin-Resistant Staphylococcus Aureus Infection,daptomycin,Moderate,Poorly soluble,Highly toxic,Antibodies
6601,Methicillin-Resistant Staphylococcus Aureus Infection,ofloxacin,Low,Poorly soluble,Highly toxic,Antibodies
6602,Methicillin-Resistant Staphylococcus Aureus Infection,dalfopristin / quinupristin,Low,Sparingly soluble,Non-toxic,Antibodies
6603,Hereditary Angioedema,C1 esterase inhibitor (human),Moderate,Lipid-soluble,Mildly toxic,Electrolytes
6604,Hereditary Angioedema,ecallantide,High,Lipid-soluble,Non-toxic,Electrolytes
6605,Hereditary Angioedema,icatibant,High,Poorly soluble,Highly toxic,Electrolytes
6606,Hereditary Angioedema,conestat alfa,Low,Water-soluble,Non-toxic,Electrolytes
6607,Hereditary Angioedema,lanadelumab,High,Water-soluble,Non-toxic,Electrolytes
6608,Hemophagocytic Lymphohistiocytosis,emapalumab,Moderate,Water-soluble,Mildly toxic,Electrolytes
6609,Hemophagocytic Lymphohistiocytosis,emapalumab,Low,Lipid-soluble,Non-toxic,Electrolytes
6610,Haemophilus influenzae Prophylaxis,rifampin,Moderate,Poorly soluble,Non-toxic,Antibodies
6611,Haemophilus influenzae Prophylaxis,haemophilus b conjugate (prp-t) vaccine,Low,Poorly soluble,Non-toxic,Antibodies
6612,Haemophilus influenzae Prophylaxis,"diphtheria toxoid / hepatitis b pediatric vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid",High,Lipid-soluble,Non-toxic,Antibodies
6613,Haemophilus influenzae Prophylaxis,"diphtheria toxoid / haemophilus b conjugate (prp-t) vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid",High,Lipid-soluble,Non-toxic,Antibodies
6614,Haemophilus influenzae Prophylaxis,haemophilus b conjugate (prp-omp) vaccine,High,Poorly soluble,Highly toxic,Antibodies
6615,Haemophilus influenzae Prophylaxis,"diphtheria and tetanus toxoids / pertussis, acellular / poliovirus vaccine, inactivated / haemophilus b conjugate / hepatitis b vaccine",High,Water-soluble,Mildly toxic,Antibodies
6616,Alopecia,spironolactone,Low,Lipid-soluble,Non-toxic,Electrolytes
6617,Alopecia,minoxidil,Low,Sparingly soluble,Mildly toxic,Electrolytes
6618,Alopecia,triamcinolone,High,Lipid-soluble,Mildly toxic,Electrolytes
6619,Alopecia,sulfasalazine,Moderate,Poorly soluble,Non-toxic,Electrolytes
6620,Hairy Cell Leukemia,cladribine,Low,Water-soluble,Non-toxic,Keratin
6621,Hairy Cell Leukemia,pentostatin,High,Sparingly soluble,Non-toxic,Keratin
6622,Hairy Cell Leukemia,interferon alfa-2b,Moderate,Lipid-soluble,Mildly toxic,Keratin
6623,Hairy Cell Leukemia,moxetumomab pasudotox,Low,Lipid-soluble,Highly toxic,Keratin
6624,Hangover,aspirin / caffeine,Low,Water-soluble,Mildly toxic,Electrolytes
6625,Atherosclerosis,rosuvastatin,Moderate,Lipid-soluble,Non-toxic,Electrolytes
6626,Hashimoto's disease (Chronic Lymphocytic Thyroiditis),levothyroxine,Low,Water-soluble,Highly toxic,Thyroxine
6627,Hashimoto's disease (Chronic Lymphocytic Thyroiditis),thyroid desiccated,Moderate,Water-soluble,Non-toxic,Thyroxine
6628,Allergic Rhinitis,cetirizine,Low,Sparingly soluble,Non-toxic,IgE
6629,Allergic Rhinitis,loratadine,Moderate,Poorly soluble,Highly toxic,IgE
6630,Allergic Rhinitis,fluticasone,Low,Water-soluble,Mildly toxic,IgE
6631,Allergic Rhinitis,montelukast,Moderate,Poorly soluble,Highly toxic,IgE
6632,Allergic Rhinitis,fexofenadine,Moderate,Poorly soluble,Highly toxic,IgE
6633,Allergic Rhinitis,azelastine,High,Lipid-soluble,Mildly toxic,IgE
6634,Allergic Rhinitis,diphenhydramine,Low,Lipid-soluble,Non-toxic,IgE
6635,Allergic Rhinitis,prednisone,High,Lipid-soluble,Highly toxic,IgE
6636,Allergic Rhinitis,levocetirizine,Low,Lipid-soluble,Non-toxic,IgE
6637,"Anemia, Sickle Cell",hydroxyurea,Low,Lipid-soluble,Non-toxic,Hemoglobin
6638,"Anemia, Sickle Cell",vitamin e,Low,Poorly soluble,Mildly toxic,Hemoglobin
6639,"Anemia, Sickle Cell",glutamine,High,Lipid-soluble,Highly toxic,Hemoglobin
6640,"Anemia, Sickle Cell",crizanlizumab,High,Sparingly soluble,Mildly toxic,Hemoglobin
6641,Hepatocellular Carcinoma,sorafenib,High,Poorly soluble,Non-toxic,Electrolytes
6642,Hepatocellular Carcinoma,nivolumab,Moderate,Sparingly soluble,Mildly toxic,Electrolytes
6643,Hepatocellular Carcinoma,regorafenib,High,Lipid-soluble,Mildly toxic,Electrolytes
6644,Hepatocellular Carcinoma,pembrolizumab,Moderate,Water-soluble,Mildly toxic,Electrolytes
6645,Hepatocellular Carcinoma,lenvatinib,Moderate,Lipid-soluble,Mildly toxic,Electrolytes
6646,Hepatocellular Carcinoma,cabozantinib,Low,Poorly soluble,Non-toxic,Electrolytes
6647,Hepatocellular Carcinoma,ramucirumab,Low,Lipid-soluble,Non-toxic,Electrolytes
6648,Hairy Cell Leukemia,cladribine,Moderate,Sparingly soluble,Highly toxic,Keratin
6649,Hairy Cell Leukemia,pentostatin,Moderate,Poorly soluble,Non-toxic,Keratin
6650,Hairy Cell Leukemia,interferon alfa-2b,High,Poorly soluble,Mildly toxic,Keratin
6651,Hairy Cell Leukemia,moxetumomab pasudotox,Moderate,Sparingly soluble,Non-toxic,Keratin
6652,Hypertrophic Cardiomyopathy,nifedipine,Moderate,Lipid-soluble,Non-toxic,Electrolytes
6653,Head and Neck Cancer,cetuximab,High,Sparingly soluble,Highly toxic,Electrolytes
6654,Head and Neck Cancer,methotrexate,Low,Lipid-soluble,Mildly toxic,Electrolytes
6655,Head and Neck Cancer,nivolumab,Low,Sparingly soluble,Highly toxic,Electrolytes
6656,Head and Neck Cancer,pembrolizumab,Moderate,Water-soluble,Mildly toxic,Electrolytes
6657,Head and Neck Cancer,docetaxel,Moderate,Sparingly soluble,Highly toxic,Electrolytes
6658,Head Imaging,ioversol,High,Poorly soluble,Mildly toxic,Electrolytes
6659,Head Imaging,iohexol,Low,Water-soluble,Highly toxic,Electrolytes
6660,Head Injury,amantadine,High,Lipid-soluble,Non-toxic,Electrolytes
6661,Head Injury,risperidone,High,Sparingly soluble,Mildly toxic,Electrolytes
6662,Head Lice,malathion,High,Water-soluble,Mildly toxic,Electrolytes
6663,Head Lice,permethrin,High,Water-soluble,Mildly toxic,Electrolytes
6664,Head Lice,piperonyl butoxide / pyrethrins,Low,Lipid-soluble,Highly toxic,Electrolytes
6665,Head Lice,ivermectin,Low,Lipid-soluble,Highly toxic,Electrolytes
6666,Head Lice,spinosad,Low,Sparingly soluble,Mildly toxic,Electrolytes
6667,Head Lice,benzyl alcohol,Moderate,Sparingly soluble,Mildly toxic,Electrolytes
6668,Head Lice,lindane,Moderate,Poorly soluble,Mildly toxic,Electrolytes
6669,Head Lice,sodium chloride,Moderate,Poorly soluble,Mildly toxic,Electrolytes
6670,Head Lice,acetic acid,Moderate,Lipid-soluble,Highly toxic,Electrolytes
6671,Headache,ibuprofen,Low,Poorly soluble,Highly toxic,Electrolytes
6672,Headache,acetaminophen / butalbital / caffeine,Moderate,Water-soluble,Non-toxic,Electrolytes
6673,Headache,naproxen,High,Sparingly soluble,Mildly toxic,Electrolytes
6674,Headache,trazodone,High,Poorly soluble,Non-toxic,Electrolytes
6675,Headache,aspirin / butalbital / caffeine,Low,Water-soluble,Non-toxic,Electrolytes
6676,Headache,acetaminophen / butalbital / caffeine / codeine,High,Water-soluble,Highly toxic,Electrolytes
6677,Headache,acetaminophen / butalbital,Moderate,Water-soluble,Non-toxic,Electrolytes
6678,Heart Attack (Myocardial Infarction),aspirin,High,Sparingly soluble,Non-toxic,Electrolytes
6679,Heart Attack (Myocardial Infarction),clopidogrel,Moderate,Lipid-soluble,Mildly toxic,Electrolytes
6680,Heart Attack (Myocardial Infarction),metoprolol,Low,Poorly soluble,Mildly toxic,Electrolytes
6681,Heart Attack (Myocardial Infarction),lisinopril,High,Water-soluble,Non-toxic,Electrolytes
6682,Heart Attack (Myocardial Infarction),nitroglycerin,Low,Poorly soluble,Non-toxic,Electrolytes
6683,Heart Attack (Myocardial Infarction),ramipril,Moderate,Water-soluble,Mildly toxic,Electrolytes
6684,Heart Attack (Myocardial Infarction),warfarin,Moderate,Poorly soluble,Non-toxic,Electrolytes
6685,Heart Attack (Myocardial Infarction),atenolol,Low,Lipid-soluble,Highly toxic,Electrolytes
6686,Heart Attack (Myocardial Infarction),enoxaparin,Moderate,Poorly soluble,Highly toxic,Electrolytes
6687,Heart Failure (Congestive Heart Failure),furosemide,Low,Lipid-soluble,Non-toxic,Potassium
6688,Heart Failure (Congestive Heart Failure),carvedilol,High,Water-soluble,Non-toxic,Potassium
6689,Heart Failure (Congestive Heart Failure),spironolactone,High,Poorly soluble,Non-toxic,Potassium
6690,Heart Failure (Congestive Heart Failure),lisinopril,Moderate,Water-soluble,Highly toxic,Potassium
6691,Heart Failure (Congestive Heart Failure),digoxin,High,Sparingly soluble,Mildly toxic,Potassium
6692,Heart Failure (Congestive Heart Failure),metoprolol,Moderate,Sparingly soluble,Non-toxic,Potassium
6693,Heart Failure (Congestive Heart Failure),isosorbide mononitrate,High,Poorly soluble,Non-toxic,Potassium
6694,Heart Failure (Congestive Heart Failure),amlodipine,Low,Sparingly soluble,Mildly toxic,Potassium
6695,Heart Failure (Congestive Heart Failure),warfarin,Low,Lipid-soluble,Highly toxic,Potassium
6696,Heart Failure (Congestive Heart Failure),hydralazine,High,Lipid-soluble,Non-toxic,Potassium
6697,Angina,aspirin,High,Poorly soluble,Mildly toxic,Oxygen
6698,Angina,nitroglycerin,Low,Sparingly soluble,Mildly toxic,Oxygen
6699,Angina,metoprolol,Moderate,Lipid-soluble,Non-toxic,Oxygen
6700,Angina,amlodipine,High,Sparingly soluble,Non-toxic,Oxygen
6701,Angina,isosorbide mononitrate,High,Water-soluble,Mildly toxic,Oxygen
6702,Angina,isosorbide dinitrate,Low,Sparingly soluble,Mildly toxic,Oxygen
6703,Angina,enoxaparin,Moderate,Sparingly soluble,Non-toxic,Oxygen
6704,Angina,ranolazine,Moderate,Water-soluble,Highly toxic,Oxygen
6705,Angina,atenolol,High,Water-soluble,Non-toxic,Oxygen
6706,Angina,carvedilol,Moderate,Poorly soluble,Highly toxic,Oxygen
6707,Angina,amlodipine / atorvastatin,Low,Water-soluble,Non-toxic,Oxygen
6708,Arrhythmia,amiodarone,Moderate,Water-soluble,Highly toxic,Electrolytes
6709,Arrhythmia,verapamil,Moderate,Water-soluble,Non-toxic,Electrolytes
6710,Arrhythmia,propranolol,Moderate,Lipid-soluble,Non-toxic,Electrolytes
6711,Arrhythmia,dofetilide,High,Water-soluble,Highly toxic,Electrolytes
6712,Arrhythmia,lidocaine,Low,Lipid-soluble,Mildly toxic,Electrolytes
6713,Arrhythmia,mexiletine,Low,Sparingly soluble,Highly toxic,Electrolytes
6714,Arrhythmia,disopyramide,Moderate,Lipid-soluble,Non-toxic,Electrolytes
6715,Arrhythmia,phenytoin,Moderate,Water-soluble,Mildly toxic,Electrolytes
6716,Arrhythmia,quinidine,High,Lipid-soluble,Highly toxic,Electrolytes
6717,Arrhythmia,procainamide,Low,Lipid-soluble,Non-toxic,Electrolytes
6718,Echocardiography,perflutren,High,Lipid-soluble,Mildly toxic,Electrolytes
6719,Prosthetic Heart Valves - Thrombosis Prophylaxis,aspirin,Low,Lipid-soluble,Non-toxic,Electrolytes
6720,Prosthetic Heart Valves - Thrombosis Prophylaxis,warfarin,Moderate,Water-soluble,Non-toxic,Electrolytes
6721,Prosthetic Heart Valves - Thrombosis Prophylaxis,dipyridamole,Moderate,Water-soluble,Mildly toxic,Electrolytes
6722,GERD,omeprazole,Moderate,Poorly soluble,Mildly toxic,Digestive Enzymes
6723,GERD,pantoprazole,High,Sparingly soluble,Highly toxic,Digestive Enzymes
6724,GERD,ranitidine,Low,Water-soluble,Highly toxic,Digestive Enzymes
6725,GERD,famotidine,High,Poorly soluble,Mildly toxic,Digestive Enzymes
6726,GERD,lansoprazole,High,Sparingly soluble,Mildly toxic,Digestive Enzymes
6727,GERD,esomeprazole,High,Water-soluble,Highly toxic,Digestive Enzymes
6728,GERD,rabeprazole,Low,Poorly soluble,Highly toxic,Digestive Enzymes
6729,GERD,sucralfate,Moderate,Lipid-soluble,Mildly toxic,Digestive Enzymes
6730,GERD,dexlansoprazole,Moderate,Poorly soluble,Non-toxic,Digestive Enzymes
6731,GERD,omeprazole / sodium bicarbonate,High,Lipid-soluble,Mildly toxic,Digestive Enzymes
6732,Heat Stress,electrolyte replacement solutions,Low,Poorly soluble,Non-toxic,Electrolytes
6733,Menorrhagia,tranexamic acid,Moderate,Poorly soluble,Highly toxic,Electrolytes
6734,Menorrhagia,dienogest / estradiol,Moderate,Lipid-soluble,Non-toxic,Electrolytes
6735,Helicobacter Pylori Infection,omeprazole,Low,Water-soluble,Highly toxic,Antibodies
6736,Helicobacter Pylori Infection,clarithromycin,Moderate,Poorly soluble,Mildly toxic,Antibodies
6737,Helicobacter Pylori Infection,amoxicillin,Low,Sparingly soluble,Mildly toxic,Antibodies
6738,Helicobacter Pylori Infection,metronidazole,High,Sparingly soluble,Highly toxic,Antibodies
6739,Helicobacter Pylori Infection,amoxicillin / clarithromycin / lansoprazole,Moderate,Water-soluble,Mildly toxic,Antibodies
6740,Helicobacter Pylori Infection,pantoprazole,Low,Sparingly soluble,Mildly toxic,Antibodies
6741,Helicobacter Pylori Infection,tetracycline,Low,Water-soluble,Non-toxic,Antibodies
6742,Helicobacter Pylori Infection,bismuth subcitrate potassium / metronidazole / tetracycline,Moderate,Lipid-soluble,Non-toxic,Antibodies
6743,Helicobacter Pylori Infection,lansoprazole,High,Poorly soluble,Non-toxic,Antibodies
6744,Helicobacter Pylori Infection,bismuth subsalicylate,Low,Lipid-soluble,Non-toxic,Antibodies
6745,Helicobacter Pylori Infection,rabeprazole,Moderate,Water-soluble,Non-toxic,Antibodies
6746,Helicobacter Pylori Infection,amoxicillin / clarithromycin / omeprazole,High,Lipid-soluble,Non-toxic,Antibodies
6747,Helicobacter Pylori Infection,esomeprazole,Low,Lipid-soluble,Highly toxic,Antibodies
6748,Hemangioma,propranolol,Moderate,Sparingly soluble,Highly toxic,Electrolytes
6749,Migraine,sumatriptan,Moderate,Water-soluble,Mildly toxic,Magnesium
6750,Migraine,rizatriptan,High,Poorly soluble,Non-toxic,Magnesium
6751,Migraine,gabapentin,Moderate,Poorly soluble,Non-toxic,Magnesium
6752,Migraine,aspirin / butalbital / caffeine,High,Lipid-soluble,Mildly toxic,Magnesium
6753,Migraine,cyclobenzaprine,High,Sparingly soluble,Highly toxic,Magnesium
6754,Migraine,diclofenac,High,Lipid-soluble,Non-toxic,Magnesium
6755,Migraine,naratriptan,High,Sparingly soluble,Mildly toxic,Magnesium
6756,Migraine,almotriptan,High,Sparingly soluble,Highly toxic,Magnesium
6757,Migraine,zolmitriptan,Low,Poorly soluble,Mildly toxic,Magnesium
6758,Migraine,eletriptan,Moderate,Water-soluble,Highly toxic,Magnesium
6759,Hemochromatosis,deferasirox,High,Water-soluble,Mildly toxic,Electrolytes
6760,"Anemia, Sickle Cell",hydroxyurea,Low,Sparingly soluble,Non-toxic,Hemoglobin
6761,"Anemia, Sickle Cell",vitamin e,High,Lipid-soluble,Non-toxic,Hemoglobin
6762,"Anemia, Sickle Cell",glutamine,Moderate,Sparingly soluble,Mildly toxic,Hemoglobin
6763,"Anemia, Sickle Cell",crizanlizumab,Low,Poorly soluble,Non-toxic,Hemoglobin
6764,Hemolytic Anemia,dexamethasone,Moderate,Sparingly soluble,Highly toxic,Hemoglobin
6765,Hemolytic Anemia,triamcinolone,Moderate,Water-soluble,Mildly toxic,Hemoglobin
6766,Hemolytic Anemia,cortisone,Moderate,Sparingly soluble,Mildly toxic,Hemoglobin
6767,Hemolytic Uremic Syndrome,eculizumab,Moderate,Lipid-soluble,Non-toxic,Electrolytes
6768,Hemolytic Uremic Syndrome,ravulizumab,Low,Lipid-soluble,Non-toxic,Electrolytes
6769,Hemophagocytic Lymphohistiocytosis,emapalumab,Moderate,Poorly soluble,Highly toxic,Electrolytes
6770,Hemophagocytic Lymphohistiocytosis,emapalumab,High,Lipid-soluble,Highly toxic,Electrolytes
6771,Hemophilia A,antihemophilic factor,High,Lipid-soluble,Mildly toxic,Electrolytes
6772,Hemophilia A,desmopressin,Moderate,Sparingly soluble,Mildly toxic,Electrolytes
6773,Hemophilia A,tranexamic acid,High,Water-soluble,Mildly toxic,Electrolytes
6774,Hemophilia A,anti-inhibitor coagulant complex,High,Water-soluble,Highly toxic,Electrolytes
6775,Hemophilia A,antihemophilic factor / von willebrand factor,Moderate,Sparingly soluble,Non-toxic,Electrolytes
6776,Hemophilia A with Inhibitors,factor ix complex,Moderate,Lipid-soluble,Highly toxic,Electrolytes
6777,Hemophilia A with Inhibitors,emicizumab,Moderate,Sparingly soluble,Highly toxic,Electrolytes
6778,Hemophilia B,coagulation factor ix,Low,Sparingly soluble,Highly toxic,Electrolytes
6779,Hemophilia B,factor ix complex,Moderate,Lipid-soluble,Highly toxic,Electrolytes
6780,Hemophilia B,coagulation factor viia,Moderate,Sparingly soluble,Mildly toxic,Electrolytes
6781,Hemorrhagic Cystitis Prophylaxis,mesna,High,Sparingly soluble,Mildly toxic,Antibodies
6782,Alport Syndrome,lisinopril,Low,Sparingly soluble,Highly toxic,Electrolytes
6783,Alport Syndrome,losartan,Moderate,Poorly soluble,Mildly toxic,Electrolytes
6784,Alport Syndrome,enalapril,High,Sparingly soluble,Highly toxic,Electrolytes
6785,Alport Syndrome,fosinopril,Moderate,Lipid-soluble,Non-toxic,Electrolytes
6786,Alport Syndrome,candesartan,High,Lipid-soluble,Highly toxic,Electrolytes
6787,Alport Syndrome,quinapril,High,Sparingly soluble,Mildly toxic,Electrolytes
6788,Hemorrhoids,hydrocortisone,Low,Water-soluble,Non-toxic,Electrolytes
6789,Hemorrhoids,lidocaine,High,Water-soluble,Non-toxic,Electrolytes
6790,Hemorrhoids,hydrocortisone / pramoxine,Low,Lipid-soluble,Mildly toxic,Electrolytes
6791,Hemorrhoids,phenylephrine,High,Poorly soluble,Non-toxic,Electrolytes
6792,Hemorrhoids,dibucaine,High,Poorly soluble,Highly toxic,Electrolytes
6793,Hemorrhoids,hydrocortisone / lidocaine,High,Water-soluble,Mildly toxic,Electrolytes
6794,Hemorrhoids,pramoxine,Moderate,Lipid-soluble,Highly toxic,Electrolytes
6795,Hemosiderosis,deferasirox,Low,Poorly soluble,Mildly toxic,Electrolytes
6796,Hemosiderosis,deferiprone,High,Lipid-soluble,Mildly toxic,Electrolytes
6797,Hemostasis,fibrin sealant,Low,Water-soluble,Non-toxic,Electrolytes
6798,Hemostasis,thrombin,High,Water-soluble,Highly toxic,Electrolytes
6799,Heparin Overdose,protamine,Low,Poorly soluble,Mildly toxic,Electrolytes
6800,Hepatic Coma,neomycin,Moderate,Water-soluble,Highly toxic,Electrolytes
6801,Hepatic Coma,paromomycin,Low,Sparingly soluble,Highly toxic,Electrolytes
6802,Hepatic Encephalopathy,lactulose,Low,Lipid-soluble,Non-toxic,Electrolytes
6803,Hepatic Encephalopathy,rifaximin,Moderate,Lipid-soluble,Mildly toxic,Electrolytes
6804,Hepatic Encephalopathy,neomycin,Moderate,Lipid-soluble,Highly toxic,Electrolytes
6805,Hepatic Tumor,sorafenib,High,Sparingly soluble,Non-toxic,Electrolytes
6806,Thrombotic/Thromboembolic Disorder,heparin,High,Water-soluble,Non-toxic,Electrolytes
6807,Thrombotic/Thromboembolic Disorder,argatroban,Moderate,Lipid-soluble,Highly toxic,Electrolytes
6808,Thrombotic/Thromboembolic Disorder,alteplase,High,Lipid-soluble,Highly toxic,Electrolytes
6809,Thrombotic/Thromboembolic Disorder,urokinase,Low,Sparingly soluble,Mildly toxic,Electrolytes
6810,Hepatic Veno-Occlusive Disease,defibrotide,Low,Lipid-soluble,Highly toxic,Electrolytes
6811,Hepatitis A,immune globulin intramuscular,High,Water-soluble,Highly toxic,Liver Enzymes
6812,Hepatitis A Prophylaxis,hepatitis a adult vaccine,Moderate,Sparingly soluble,Highly toxic,Liver Enzymes
6813,Hepatitis A Prophylaxis,hepatitis a adult vaccine / hepatitis b adult vaccine,High,Poorly soluble,Mildly toxic,Liver Enzymes
6814,Hepatitis A Prophylaxis,hepatitis a pediatric vaccine,Moderate,Water-soluble,Non-toxic,Liver Enzymes
6815,Hepatitis B,entecavir,Low,Poorly soluble,Non-toxic,Liver Enzymes
6816,Hepatitis B,tenofovir,Low,Lipid-soluble,Mildly toxic,Liver Enzymes
6817,Hepatitis B,lamivudine,High,Water-soluble,Highly toxic,Liver Enzymes
6818,Hepatitis B,adefovir,Moderate,Water-soluble,Mildly toxic,Liver Enzymes
6819,Hepatitis B,tenofovir alafenamide,Low,Water-soluble,Mildly toxic,Liver Enzymes
6820,Hepatitis B,interferon alfa-2b,Low,Lipid-soluble,Mildly toxic,Liver Enzymes
6821,Hepatitis B,peginterferon alfa-2a,High,Sparingly soluble,Non-toxic,Liver Enzymes
6822,Hepatitis B,peginterferon alfa-2b,Low,Poorly soluble,Non-toxic,Liver Enzymes
6823,Hepatitis B Prevention (Hepatitis B Prophylaxis),hepatitis b adult vaccine,High,Lipid-soluble,Non-toxic,Liver Enzymes
6824,Hepatitis B Prevention (Hepatitis B Prophylaxis),hepatitis a adult vaccine / hepatitis b adult vaccine,Moderate,Water-soluble,Non-toxic,Liver Enzymes
6825,Hepatitis B Prevention (Hepatitis B Prophylaxis),hepatitis b pediatric vaccine,High,Sparingly soluble,Mildly toxic,Liver Enzymes
6826,Hepatitis B Prevention (Hepatitis B Prophylaxis),"diphtheria toxoid / hepatitis b pediatric vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid",Moderate,Water-soluble,Highly toxic,Liver Enzymes
6827,Hepatitis B Prevention (Hepatitis B Prophylaxis),"diphtheria and tetanus toxoids / pertussis, acellular / poliovirus vaccine, inactivated / haemophilus b conjugate / hepatitis b vaccine",High,Poorly soluble,Mildly toxic,Liver Enzymes
6828,Hepatitis B Prevention (Hepatitis B Prophylaxis),hepatitis b adult vaccine,Moderate,Poorly soluble,Non-toxic,Liver Enzymes
6829,Hepatitis B Prevention (Hepatitis B Prophylaxis),hepatitis a adult vaccine / hepatitis b adult vaccine,High,Lipid-soluble,Mildly toxic,Liver Enzymes
6830,Hepatitis B Prevention (Hepatitis B Prophylaxis),hepatitis b pediatric vaccine,Moderate,Sparingly soluble,Mildly toxic,Liver Enzymes
6831,Hepatitis B Prevention (Hepatitis B Prophylaxis),"diphtheria toxoid / hepatitis b pediatric vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid",Low,Poorly soluble,Highly toxic,Liver Enzymes
6832,Hepatitis B Prevention (Hepatitis B Prophylaxis),"diphtheria and tetanus toxoids / pertussis, acellular / poliovirus vaccine, inactivated / haemophilus b conjugate / hepatitis b vaccine",High,Water-soluble,Non-toxic,Liver Enzymes
6833,Hepatitis B,entecavir,High,Sparingly soluble,Non-toxic,Liver Enzymes
6834,Hepatitis B,tenofovir,Low,Lipid-soluble,Highly toxic,Liver Enzymes
6835,Hepatitis B,lamivudine,Low,Lipid-soluble,Non-toxic,Liver Enzymes
6836,Hepatitis B,adefovir,Moderate,Poorly soluble,Non-toxic,Liver Enzymes
6837,Hepatitis B,tenofovir alafenamide,Low,Lipid-soluble,Non-toxic,Liver Enzymes
6838,Hepatitis B,interferon alfa-2b,Low,Poorly soluble,Non-toxic,Liver Enzymes
6839,Hepatitis B,peginterferon alfa-2a,High,Water-soluble,Highly toxic,Liver Enzymes
6840,Hepatitis B,peginterferon alfa-2b,Low,Sparingly soluble,Mildly toxic,Liver Enzymes
6841,Hepatitis C,ribavirin,Moderate,Sparingly soluble,Highly toxic,Liver Enzymes
6842,Hepatitis C,ledipasvir / sofosbuvir,High,Sparingly soluble,Non-toxic,Liver Enzymes
6843,Hepatitis C,sofosbuvir,High,Water-soluble,Mildly toxic,Liver Enzymes
6844,Hepatitis C,sofosbuvir / velpatasvir,Moderate,Water-soluble,Non-toxic,Liver Enzymes
6845,Hepatitis C,peginterferon alfa-2a,Moderate,Poorly soluble,Highly toxic,Liver Enzymes
